time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
206.5,1.0,0.0,1.2634785437247239e-61,7.399736431351337e-64,1.1037054119040514e-64,2.0799213125881146e-66,5.5818742750566507e-67,1.1092824721195247e-72,1.0,0.0
207.0,1.0,0.0,8.425208847188777e-62,4.9461040700937306e-64,7.376921586537635e-65,1.3870394862955522e-66,3.738436981223528e-67,7.397484636816193e-73,1.0,0.0
207.5,1.0,0.0,5.618151924407627e-62,3.30603704294056e-64,4.93054162545861e-65,9.249765878506509e-67,2.503773565459086e-67,4.933168946615835e-73,1.0,0.0
208.0,1.0,0.0,3.7463321821698113e-62,2.209783157947565e-64,3.2954260602804853e-65,6.168401754938787e-67,1.6768531533897274e-67,3.2897879245636404e-73,1.0,0.0
208.5,1.0,0.0,2.4981533087752973e-62,1.477029242825926e-64,2.202551164499969e-65,4.1135289646790905e-67,1.1230265776582338e-67,2.1938645534809594e-73,1.0,0.0
209.0,1.0,0.0,1.6658346485789788e-62,9.87247473265762e-65,1.4721021379115793e-65,2.743193627570908e-67,7.521077805801251e-68,1.4630248954592954e-73,1.0,0.0
209.5,1.0,0.0,1.1108225690787076e-62,6.598731882830411e-65,9.83891926376544e-66,1.8293565629957172e-67,5.036921667842943e-68,9.756490306120644e-74,1.0,0.0
210.0,1.0,0.0,7.407258463660888e-63,4.410547065168289e-65,6.575887547647397e-66,1.2199450195300188e-67,3.3732257310216943e-68,6.506321423969424e-74,1.0,0.0
210.5,1.0,0.0,4.93935570583354e-63,2.9479626526911715e-65,4.395000190044922e-66,8.135460669549553e-68,2.2590233898725967e-68,4.338877685670485e-74,1.0,0.0
211.0,1.0,0.0,3.293692924101437e-63,1.9703757028907823e-65,2.937385654487717e-66,5.425303487684061e-68,1.5128336979367238e-68,2.893472081994135e-74,1.0,0.0
211.5,1.0,0.0,2.19632148894714e-63,1.3169632959752348e-65,1.9631821811549824e-66,3.6179779924266565e-68,1.013110494260466e-68,1.929572856901781e-74,1.0,0.0
212.0,1.0,0.0,1.4645652141742955e-63,8.802294039741661e-66,1.312072435087505e-66,2.4127248663747664e-68,6.784496510837512e-69,1.286776326184049e-74,1.0,0.0
212.5,1.0,0.0,9.766107909810754e-64,5.883227699040676e-66,8.769051190065425e-67,1.608976405897156e-68,4.5433232886521147e-69,8.581139045145624e-75,1.0,0.0
213.0,1.0,0.0,6.512298857230509e-64,3.932176815831032e-66,5.8606393389615986e-67,1.0729798025537143e-68,3.042460084321572e-69,5.722513317290868e-75,1.0,0.0
213.5,1.0,0.0,4.3425729878820894e-64,2.628137156616004e-66,3.916832455071535e-67,7.155391724810869e-69,2.0373769607976447e-69,3.816178503898483e-75,1.0,0.0
214.0,1.0,0.0,2.8957424357368803e-64,1.7565504701432589e-66,2.6177165149633968e-67,4.771723581289321e-69,1.364310331566502e-69,2.5448989685404725e-75,1.0,0.0
214.5,1.0,0.0,1.9309575860961994e-64,1.1740074920620131e-66,1.749475486863144e-67,3.182124277868739e-69,9.135876983096027e-70,1.6971194333365935e-75,1.0,0.0
215.0,1.0,0.0,1.2876135506000707e-64,7.846549964974816e-67,1.1692052369608784e-67,2.1220665140049977e-69,6.117621988187212e-70,1.1317597986859662e-75,1.0,0.0
215.5,1.0,0.0,8.586147451538704e-65,5.2442606896248665e-67,7.813961997093183e-68,1.4151446816325135e-69,4.096475625659646e-70,7.54737825098451e-76,1.0,0.0
216.0,1.0,0.0,5.7254700391439425e-65,3.50499547754377e-67,5.222151907791634e-68,9.437189824977004e-70,2.7430484323740756e-70,5.033127877625001e-76,1.0,0.0
216.5,1.0,0.0,3.817894737326032e-65,2.34254706294023e-67,3.4899996332742883e-68,6.293388380921074e-70,1.836758091208256e-70,3.3564471204817255e-76,1.0,0.0
217.0,1.0,0.0,2.5458731118399534e-65,1.565621842099208e-67,2.3323780556971126e-68,4.196878274201662e-70,1.2298888217439117e-70,2.2383172933557076e-76,1.0,0.0
217.5,1.0,0.0,1.6976554744223056e-65,1.0463647791179024e-67,1.5587275362696446e-68,2.798776433150605e-70,8.235219418957221e-71,1.4926689083583832e-76,1.0,0.0
