B,R,a,Pfus,Pe,LCOE,capex,cap_mag,cap_nuc,cap_bop,cap_struct
14.0,3.0,0.9375,1064.9843441675466,422.2934245503695,113.75120581608758,3310.081191837081,142.50264276683302,2440.8264396098043,506.75210946044336,1176.0
14.0,3.5,1.09375,1691.155694673465,685.2853917628553,85.31829278110527,4101.207054461405,193.96193043263378,2864.9026539133447,822.3424701154263,1372.0
14.0,4.0,1.25,2524.4073343230734,1035.2510804156907,68.2771105699548,5009.55299850174,253.3380315854809,3293.91367041743,1242.3012964988288,1568.0
15.0,1.6,0.5,212.90815710138375,64.42142598258117,448.85255977866416,1806.0012752891116,43.4293768432253,1465.2661872667888,77.3057111790974,720.0
15.0,1.8,0.5625,303.14462212286867,102.32074129160483,311.8980968305017,2049.7277128766623,54.96530506720703,1651.9775182595295,122.7848895499258,810.0
15.0,2.0,0.625,415.8362443386401,149.65122262222883,234.6380308538372,2306.9182860685714,67.85840131753952,1839.4784176043574,179.5814671466746,900.0
15.0,2.2,0.6875,553.47804121473,207.46077731018656,185.751364714413,2578.8304836677194,82.10866559422284,2027.7688853012728,248.95293277222385,990.0000000000001
15.0,2.5,0.78125,812.1801647239065,316.1156691840407,139.59753896108745,3017.0525825863133,106.02875205865553,2311.6850275068086,379.3388030208488,1125.0
15.0,3.0,0.9375,1403.4473246429102,564.4478763500223,97.15694970787995,3838.845294194295,152.6814029644639,2788.8264396098043,677.3374516200267,1350.0
15.0,3.5,1.09375,2228.6223720023995,911.0213962410077,74.1533995856515,4791.9446834375185,207.81635403496477,3270.9026539133447,1093.2256754892092,1575.0
15.0,4.0,1.25,3326.6899547091207,1372.2097809778306,60.18259134205994,5895.999012860985,271.43360527015807,3757.91367041743,1646.651737173397,1800.0
16.0,1.6,0.5,275.617757704618,90.75945823593955,349.6175259260243,2038.90220578269,46.32466863277365,1663.666187266789,108.91134988312747,819.2
16.0,1.8,0.5625,392.4323151692705,139.8215723710936,251.99126838212695,2321.593063843196,58.62965873835415,1875.1775182595295,167.78588684531232,921.6
16.0,2.0,0.625,538.315933016832,201.09269186706942,193.90151118994072,2621.1719425835495,72.38229473870884,2087.478417604357,241.31123024048333,1024.0
16.0,2.2,0.6875,716.4985068454033,275.92937287506936,155.9519440979397,2939.2667093851933,87.5825766338377,2300.5688853012725,331.11524745008325,1126.4
16.0,2.5,0.78125,1051.3983066735,416.58728880287,119.2406269813585,3454.687109599485,113.09733552923255,2621.6850275068086,499.90474656344395,1280.0
16.0,3.0,0.9375,1816.8162739318077,738.0628350513592,84.69814211902171,4429.362004833531,162.8601631620949,3160.8264396098043,885.6754020616311,1536.0
16.0,3.5,1.09375,2885.0369535120835,1186.715520475075,65.6488514012132,5570.63205612073,221.67077763729577,3704.9026539133447,1424.0586245700902,1792.0
16.0,4.0,1.25,4306.527464134656,1783.7415349365554,53.962458893719365,6903.932691296131,289.52917895483534,4253.91367041743,2140.4898419238666,2048.0
